date,tavg,tmax,tmin,year
2018-02-19,-1.2,7.2,-9.6,2018
2018-02-20,-0.6,6.8,-8.8,2018
2018-02-21,-2,4.5,-8.7,2018
2018-02-22,-2.7,6,-10.2,2018
2018-02-23,3.7,8.7,-2.8,2018
2018-02-24,3.5,9,-4.2,2018
2018-02-25,0.8,9.1,-4.9,2018
2018-02-26,0.2,10.4,-9.3,2018
2018-02-27,0.3,7,-7.3,2018
2018-02-28,3,8.7,-0.9,2018
2018-03-01,0.8,3.2,-3.8,2018
2018-03-02,-2.1,5.6,-8.7,2018
2018-03-03,5.5,17.2,-4.6,2018
2018-03-04,10.3,17.1,4.8,2018
2018-03-05,4.5,8.6,-1.2,2018
2018-03-06,2.1,10.7,-5,2018
2018-03-07,4.8,10.1,-1.6,2018
2018-03-08,3,7.7,-0.1,2018
2018-03-09,3.2,7.9,-0.9,2018
2018-03-10,2.4,10.3,-4.2,2018
2018-03-11,5.4,12.9,-0.7,2018
2018-03-12,5.7,17,-3.9,2018
2018-03-13,9.8,20.6,-1.4,2018
2018-03-14,13.4,23.1,4,2018
2018-03-15,11.8,14.9,8.5,2018
2018-03-16,5.1,9.3,-0.9,2018
2018-03-17,4.2,13.9,-4.6,2018
2018-03-18,7,12.1,1.6,2018
2018-03-19,7.1,9.2,5,2018
2018-03-20,4.4,8.6,1.3,2018
2018-03-21,1.4,5.5,-0.6,2018
2018-03-22,4.1,11.3,-1.5,2018
2018-03-23,4,13.2,-4,2018
2018-03-24,6.7,14.9,-0.4,2018
2018-03-25,8.8,18.9,2,2018
2018-03-26,9.4,19.5,-0.2,2018
2018-03-27,11.4,21.4,0.9,2018
2018-03-28,12.7,21.6,2.2,2018
2018-03-29,13.9,21.8,7.4,2018
2018-03-30,13.9,21.1,7.6,2018
2018-03-31,13.6,21.7,5.9,2018
2018-04-01,13.4,20.6,5.7,2018
2018-04-02,16.5,25.2,8.4,2018
2018-04-03,17.5,24.6,10,2018
2018-04-04,12,16.4,8.6,2018
2018-04-05,7.4,8.8,6.4,2018
2018-04-06,6.7,10.9,1.7,2018
2018-04-07,4.3,8.5,1.9,2018
2018-04-08,0.5,2.4,-1.7,2018
2018-04-09,9.6,15.3,2,2018
2018-04-10,13.2,23.4,-0.1,2018
2018-04-11,13.6,18.3,6.5,2018
2018-04-12,11.3,21.2,1.1,2018
2018-04-13,11.6,18.9,1.5,2018
2018-04-14,8.5,12.2,6.4,2018
2018-04-15,9.1,14.6,5.3,2018
2018-04-16,9.8,18.3,0.7,2018
2018-04-17,11.4,20,3.5,2018
2018-04-18,11.5,20.9,2,2018
2018-04-19,12.7,22.5,1.7,2018
2018-04-20,17.1,28.9,5.8,2018
2018-04-21,17.8,28.9,7.2,2018
2018-04-22,15.3,23.3,8,2018
2018-04-23,9.7,13,8.7,2018
2018-04-24,11.3,16.1,5.4,2018
2018-04-25,11.8,22.4,0.5,2018
2018-04-26,14,23.4,4.6,2018
2018-04-27,14,23,4.7,2018
2018-04-28,14.5,23.2,6.2,2018
2018-04-29,14.5,24.7,4.1,2018
2018-04-30,17.2,26.5,8.2,2018
2018-05-01,20.2,26.2,14.7,2018
2018-05-02,16,19.6,9.4,2018
2018-05-03,10.6,16.2,5.3,2018
2018-05-04,13.5,20.5,5.9,2018
2018-05-05,15.6,25.9,4.6,2018
2018-05-06,15.2,18,13.8,2018
2018-05-07,17.2,23.9,13.1,2018
2018-05-08,16.1,20.6,9.1,2018
2018-05-09,13.8,21.4,4.8,2018
2018-05-10,15.2,23.1,7.5,2018
2018-05-11,15.2,23.3,9.1,2018
2018-05-12,13.8,16.3,11.6,2018
2018-05-13,16.4,20.7,11.9,2018
2018-05-14,18,26.4,10.6,2018
2018-05-15,21.6,30,14.5,2018
2018-05-16,22.3,26.5,19.3,2018
2018-05-17,23.1,26.7,20.8,2018
2018-05-18,17.3,20.9,11.6,2018
2018-05-19,16.8,23.5,10.2,2018
2018-05-20,15.1,21.5,7,2018
2018-05-21,14.6,22.4,4.7,2018
2018-05-22,17.4,25.3,10.3,2018
2018-05-23,18.3,24.2,11,2018
2018-05-24,17.3,25.9,7.4,2018
2018-05-25,18,26.6,9.5,2018
2018-05-26,19.4,30.6,8.3,2018
2018-05-27,19.2,25.6,12.9,2018
2018-05-28,21.2,30.2,11.3,2018
2018-05-29,22,27.6,18.1,2018
2018-05-30,19.8,26.3,15.1,2018
2018-05-31,19.1,27.5,11.3,2018
2018-06-01,22.2,31,13.6,2018
2018-06-02,21.7,30.9,13.2,2018
2018-06-03,20.8,30.5,11.1,2018
2018-06-04,21.1,29.4,13.1,2018
2018-06-05,23.2,30.1,17.8,2018
2018-06-06,22.7,30.5,15,2018
2018-06-07,22.2,30.1,15.4,2018
2018-06-08,21.3,27.6,16.2,2018
2018-06-09,22.2,29.3,15.5,2018
2018-06-10,21.2,25.8,18.4,2018
2018-06-11,19.9,23.4,15.5,2018
2018-06-12,20.6,27.6,14.8,2018
2018-06-13,21.3,27.4,13.8,2018
2018-06-14,21.5,26.6,18.1,2018
2018-06-15,20.8,26.1,16.5,2018
2018-06-16,21.1,28.9,12.4,2018
2018-06-17,20.5,28.4,13.2,2018
2018-06-18,23.8,31.5,17.2,2018
2018-06-19,21.5,26.7,16.4,2018
2018-06-20,22.5,30.1,17.2,2018
2018-06-21,23.2,29.9,17.1,2018
2018-06-22,23.6,33.2,13.8,2018
2018-06-23,23.5,30.7,16.8,2018
2018-06-24,24.6,33.1,17.4,2018
2018-06-25,24.6,33.6,16.7,2018
2018-06-26,22.1,25.6,19.5,2018
2018-06-27,24.6,30.2,20.5,2018
2018-06-28,22.6,26.3,19.4,2018
2018-06-29,24.6,30.5,19.9,2018
2018-06-30,24.2,29,21.1,2018
2018-07-01,21.2,23.1,19.8,2018
2018-07-02,22.6,27.6,19.8,2018
2018-07-03,25.7,31.2,21.4,2018
2018-07-04,26.8,32,21.8,2018
2018-07-05,24.9,30.7,20.6,2018
2018-07-06,22.9,27.6,19.7,2018
2018-07-07,22.7,28.7,17.7,2018
2018-07-08,21.3,27.3,14.2,2018
2018-07-09,20.4,22,19,2018
2018-07-10,24.2,29,20.1,2018
2018-07-11,26.3,30.6,23.6,2018
2018-07-12,27.1,31.7,23.7,2018
2018-07-13,27.5,32.7,22.7,2018
2018-07-14,27.9,33.2,23.6,2018
2018-07-15,27.5,34.2,21.4,2018
2018-07-16,27.8,34.7,21.8,2018
2018-07-17,26.9,33.1,21,2018
2018-07-18,27,34,20.5,2018
2018-07-19,27.4,34.7,20.8,2018
2018-07-20,27.8,35,21.1,2018
2018-07-21,28.6,36.3,22.1,2018
2018-07-22,29.2,37,21.4,2018
2018-07-23,29.8,36.1,24.9,2018
2018-07-24,30.3,37.1,23.6,2018
2018-07-25,29.6,35.2,25.6,2018
2018-07-26,29.3,34.9,23.5,2018
2018-07-27,30,36.7,24.5,2018
2018-07-28,28.8,36.2,24.9,2018
2018-07-29,28.9,35.1,23.1,2018
2018-07-30,28.2,36.6,21.9,2018
2018-07-31,29.7,37.6,22,2018
2018-08-01,30.6,38.5,22.5,2018
2018-08-02,30.5,38.9,23.3,2018
2018-08-03,31.4,38.4,24.3,2018
2018-08-04,29.6,35.5,24.5,2018
2018-08-05,28.8,34.9,24.3,2018
2018-08-06,28.5,35.7,25.2,2018
2018-08-07,29.3,36.1,23.2,2018
2018-08-08,28.6,35.7,24.7,2018
2018-08-09,27.3,33.9,23.7,2018
2018-08-10,29.1,35.9,25.3,2018
2018-08-11,28.1,35.3,22.5,2018
2018-08-12,28.4,35,22.1,2018
2018-08-13,29.6,36.3,24.5,2018
2018-08-14,30.1,36.9,25.2,2018
2018-08-15,30.2,38.9,23.7,2018
2018-08-16,27,32.7,20.9,2018
2018-08-17,24.1,31.4,16.5,2018
2018-08-18,23.2,31.1,15.2,2018
2018-08-19,24.3,33.1,17.1,2018
2018-08-20,26.8,33.5,18.9,2018
2018-08-21,25.7,28.7,22,2018
2018-08-22,28.9,37.8,20.9,2018
2018-08-23,29,31.9,25.2,2018
2018-08-24,24.3,28.3,22.5,2018
2018-08-25,24.1,28.2,20.7,2018
2018-08-26,19.9,22.9,17.9,2018
2018-08-27,20.9,23.2,18.6,2018
2018-08-28,22.8,23.8,21.6,2018
2018-08-29,25.9,30.9,21.4,2018
2018-08-30,25.6,31.5,23.2,2018
2018-10-01,13.3,19.3,6.3,2018
2018-10-02,12.5,21.3,6,2018
2018-10-03,12.6,23,5.8,2018
2018-10-04,16.2,26.2,7.2,2018
2018-10-05,15.8,17.6,14.1,2018
2018-10-06,17.1,21.6,13.8,2018
2018-10-07,15,23,7.6,2018
2018-10-08,10.5,20.3,3.8,2018
2018-10-09,12.4,19.6,5.4,2018
2018-10-10,12,15.9,4.1,2018
2018-10-11,6.9,14.6,0.4,2018
2018-10-12,6.8,17.2,-0.9,2018
2018-10-13,8.4,19.4,-0.4,2018
2018-10-14,9.6,19.1,2.4,2018
2018-10-15,11.6,20.7,5.5,2018
2018-10-16,11.4,18.8,6.7,2018
2018-10-17,9.2,19,2.6,2018
2018-10-18,7.5,17,0.1,2018
2018-10-19,10.2,18.9,3.9,2018
2018-10-20,8.3,20.7,1.6,2018
2018-10-21,7.9,20.1,-0.2,2018
2018-10-22,9.5,20,1.8,2018
2018-10-23,8.1,16,2.9,2018
2018-10-24,8.5,17.5,4,2018
2018-10-25,8.7,19.6,3.3,2018
2018-10-26,9.5,13.2,5.6,2018
2018-10-27,7.6,12.9,0.8,2018
2018-10-28,7,12.2,1.5,2018
2018-10-29,6.5,12.3,1.1,2018
2018-10-30,4.2,12.2,-2.9,2018
2018-10-31,6,13.8,-0.1,2018
2018-11-01,3.9,15,-3.3,2018
2018-11-02,5.5,17.5,-2.7,2018
2018-11-03,6.4,19,-2,2018
2018-11-04,6.8,18.6,-1.8,2018
2018-11-05,7,18.1,-0.9,2018
2018-11-06,8.4,18.9,0.9,2018
2018-11-07,10.8,14.6,7,2018
2018-11-08,12.8,16.1,10.9,2018
2018-11-09,11.4,15.3,6,2018
2018-11-10,9.7,17.5,2.4,2018
2018-11-11,5.8,10.6,-0.3,2018
2018-11-12,5.4,14.6,-0.2,2018
2018-11-13,5.5,15.3,-0.4,2018
2018-11-14,5.9,15.6,-0.7,2018
2018-11-15,5.2,14.8,-1.8,2018
2018-11-16,6.7,14.2,0.8,2018
2018-11-17,4.1,10.6,-1.8,2018
2018-11-18,3.7,11.4,-2.8,2018
2018-11-19,4.2,12.3,-2.3,2018
2018-11-20,2.3,12.3,-5.1,2018
2018-11-21,2.7,5.9,-0.3,2018
2018-11-22,1,7.3,-4.9,2018
2018-11-23,-1.6,6.5,-7.9,2018
2018-11-24,0.8,4.4,-4.2,2018
2018-11-25,3.6,9.3,-0.8,2018
2018-11-26,1.3,10,-2.3,2018
2018-11-27,2.1,9.6,-2.7,2018
2018-11-28,1.8,9.6,-3.5,2018
2018-11-29,0.5,6.2,-5,2018
2018-11-30,0.3,9,-6.3,2018
2018-12-01,1.2,10.4,-3.8,2018
2018-12-02,2.6,11.4,-4.7,2018
2018-12-03,7.9,10.7,3.5,2018
2018-12-04,8.6,11,1.3,2018
2018-12-05,-0.6,3.7,-6,2018
2018-12-06,2.3,7,-0.6,2018
2018-12-07,-5.5,0.4,-9.6,2018
2018-12-08,-8.8,-3,-13.2,2018
2018-12-09,-8.5,-2.4,-15.3,2018
2018-12-10,-6.9,2.1,-13.6,2018
2018-12-11,-3.6,-0.4,-8.5,2018
2018-12-12,-4.2,3,-10.5,2018
2018-12-13,-4,1.7,-10.2,2018
2018-12-14,-6.4,1,-13.7,2018
2018-12-15,-5.7,-2.5,-10.9,2018
2018-12-16,-3,2.2,-8.5,2018
2018-12-17,0.1,6.1,-4,2018
2018-12-18,-1.2,7.4,-8.8,2018
2018-12-19,2.4,10.1,-3.5,2018
2018-12-20,-0.8,9.6,-6,2018
2018-12-21,-0.3,8.2,-7.9,2018
2018-12-22,3.6,11.9,-3.4,2018
2018-12-23,3.5,8.8,-2.2,2018
2018-12-24,-4.1,3,-10.2,2018
2018-12-25,-4,3.1,-10.9,2018
2018-12-26,-0.3,4.9,-4.6,2018
2018-12-27,-8.4,-4.2,-13.2,2018
2018-12-28,-12.1,-6.4,-17.1,2018
2018-12-29,-9.8,-3.1,-16.8,2018
2018-12-30,-10.1,-1.8,-16.8,2018
2018-12-31,-9.3,0.7,-18,2018
